id:ID,name,type,:LABEL
chunk:8c4877968de75e32052d,wikipedia_vi_10.jsonl chunk 0,Chunk,Chunk
chunk:75dc713c416a6d0bd36a,wikipedia_vi_10.jsonl chunk 1,Chunk,Chunk
chunk:f3f4457d177a532a6e0f,wikipedia_vi_10.jsonl chunk 0,Chunk,Chunk
chunk:943b44c81030015b57f3,wikipedia_vi_10.jsonl chunk 1,Chunk,Chunk
chunk:0a59cf4afbe86ebb5f58,wikipedia_vi_10.jsonl chunk 2,Chunk,Chunk
chunk:c574b4589fe189633ea9,wikipedia_vi_10.jsonl chunk 3,Chunk,Chunk
chunk:f3de08b4223a91f912ad,wikipedia_vi_10.jsonl chunk 4,Chunk,Chunk
chunk:499ca32045ae8277a4b6,wikipedia_vi_10.jsonl chunk 5,Chunk,Chunk
chunk:acf1f1ddf138846ffa45,wikipedia_vi_10.jsonl chunk 6,Chunk,Chunk
chunk:3f23462dbc8c332ec0d9,wikipedia_vi_10.jsonl chunk 7,Chunk,Chunk
chunk:cecef25d46041b906bd3,wikipedia_vi_10.jsonl chunk 8,Chunk,Chunk
chunk:a5d7d00ba89f97c2c681,wikipedia_vi_10.jsonl chunk 9,Chunk,Chunk
chunk:32ff12c0a5df89b861f6,wikipedia_vi_10.jsonl chunk 10,Chunk,Chunk
chunk:cc3cbde3e67caf504f2c,wikipedia_vi_10.jsonl chunk 11,Chunk,Chunk
chunk:2ef4d9d0c4893a3de3ce,wikipedia_vi_10.jsonl chunk 12,Chunk,Chunk
chunk:7cb6c838135b925a74da,wikipedia_vi_10.jsonl chunk 13,Chunk,Chunk
chunk:959725e973389bf8e0fe,wikipedia_vi_10.jsonl chunk 14,Chunk,Chunk
chunk:c915f0354e44c184f7da,wikipedia_vi_10.jsonl chunk 15,Chunk,Chunk
chunk:c6f767abab255c2f12d5,wikipedia_vi_10.jsonl chunk 16,Chunk,Chunk
chunk:21a10735bcfcfff01150,wikipedia_vi_10.jsonl chunk 17,Chunk,Chunk
chunk:d43f5c09932a4608f1f3,wikipedia_vi_10.jsonl chunk 18,Chunk,Chunk
chunk:fb0b7f2ed59c1b7e66e9,wikipedia_vi_10.jsonl chunk 19,Chunk,Chunk
chunk:4013ac152019b2851175,wikipedia_vi_10.jsonl chunk 20,Chunk,Chunk
chunk:6250a2afa968cccda887,wikipedia_vi_10.jsonl chunk 21,Chunk,Chunk
chunk:aa450a7a1551cad36bd2,wikipedia_vi_10.jsonl chunk 22,Chunk,Chunk
chunk:326a9f92b58f2daff36d,wikipedia_vi_10.jsonl chunk 23,Chunk,Chunk
chunk:2f6d2bec85743e2bbbf7,wikipedia_vi_10.jsonl chunk 24,Chunk,Chunk
chunk:ddd3a73177e5df834301,wikipedia_vi_10.jsonl chunk 25,Chunk,Chunk
chunk:cc83826af88ca6843f19,wikipedia_vi_10.jsonl chunk 26,Chunk,Chunk
chunk:37fcb3bf99297406f42d,wikipedia_vi_10.jsonl chunk 27,Chunk,Chunk
chunk:a8ed42ad8df992484ef1,wikipedia_vi_10.jsonl chunk 28,Chunk,Chunk
chunk:c7f104abdc605bfdae6d,wikipedia_vi_10.jsonl chunk 29,Chunk,Chunk
chunk:e35af04974102659e887,wikipedia_vi_10.jsonl chunk 30,Chunk,Chunk
chunk:8dfc43eaeebfe8648dca,wikipedia_vi_10.jsonl chunk 0,Chunk,Chunk
chunk:5022d7ca27a14b6591a8,wikipedia_vi_10.jsonl chunk 1,Chunk,Chunk
chunk:f69798036a675307253a,wikipedia_vi_10.jsonl chunk 2,Chunk,Chunk
chunk:90359c8002618995e332,wikipedia_vi_10.jsonl chunk 3,Chunk,Chunk
chunk:4aa9b75b9627a23ceb0d,wikipedia_vi_10.jsonl chunk 4,Chunk,Chunk
chunk:dafd077aaba85c2b1ddb,wikipedia_vi_10.jsonl chunk 5,Chunk,Chunk
chunk:42295f12eb73d27c75c1,wikipedia_vi_10.jsonl chunk 6,Chunk,Chunk
chunk:e73f82f094dc710d9f06,wikipedia_vi_10.jsonl chunk 7,Chunk,Chunk
chunk:abeffd762577fd6d41c3,wikipedia_vi_10.jsonl chunk 8,Chunk,Chunk
chunk:fab4d59253d3cb78d6a5,wikipedia_vi_10.jsonl chunk 9,Chunk,Chunk
chunk:4a2a257fa1171cb6accc,wikipedia_vi_10.jsonl chunk 0,Chunk,Chunk
chunk:14a5e4e73c42e7a9a9a4,wikipedia_vi_10.jsonl chunk 1,Chunk,Chunk
chunk:2731a1928129b9a82967,wikipedia_vi_10.jsonl chunk 2,Chunk,Chunk
chunk:fa950b42117288aa7bba,wikipedia_vi_10.jsonl chunk 3,Chunk,Chunk
chunk:921a93a9dad084102119,wikipedia_vi_10.jsonl chunk 4,Chunk,Chunk
chunk:927e0258570c0a983028,wikipedia_vi_10.jsonl chunk 5,Chunk,Chunk
chunk:89b715b7be3270129101,wikipedia_vi_10.jsonl chunk 6,Chunk,Chunk
chunk:18759bc00df521af8689,wikipedia_vi_10.jsonl chunk 7,Chunk,Chunk
chunk:38fb6729c83414ebd758,wikipedia_vi_10.jsonl chunk 8,Chunk,Chunk
chunk:00ed7fdd12f8c3e8a89a,wikipedia_vi_10.jsonl chunk 9,Chunk,Chunk
chunk:0ac5670eb8bd4e799b8d,wikipedia_vi_10.jsonl chunk 10,Chunk,Chunk
chunk:e1646d049332708415cc,wikipedia_vi_10.jsonl chunk 11,Chunk,Chunk
chunk:d0a9d6e4a7d2885df8d6,wikipedia_vi_10.jsonl chunk 12,Chunk,Chunk
chunk:99efc235b9513eed8d8b,wikipedia_vi_10.jsonl chunk 13,Chunk,Chunk
chunk:3ec5f1ae90c73d8b5ad7,wikipedia_vi_10.jsonl chunk 14,Chunk,Chunk
chunk:2c449d282edc34acd22d,wikipedia_vi_10.jsonl chunk 15,Chunk,Chunk
chunk:8b4ee02ee99827d6a49e,wikipedia_vi_10.jsonl chunk 16,Chunk,Chunk
chunk:f51577d99868e1eaf32b,wikipedia_vi_10.jsonl chunk 17,Chunk,Chunk
chunk:f17a8cbb203675dca4e1,wikipedia_vi_10.jsonl chunk 18,Chunk,Chunk
chunk:7ccfd4c346273cd7464c,wikipedia_vi_10.jsonl chunk 19,Chunk,Chunk
chunk:89d41309d0ed5de8cc8a,wikipedia_vi_10.jsonl chunk 20,Chunk,Chunk
chunk:0d9d9a7184914f985572,wikipedia_vi_10.jsonl chunk 21,Chunk,Chunk
chunk:d0af99c95c8a4623d764,wikipedia_vi_10.jsonl chunk 22,Chunk,Chunk
chunk:ff4c72b96bd9a4b83253,wikipedia_vi_10.jsonl chunk 23,Chunk,Chunk
chunk:0835c722af711a4eb614,wikipedia_vi_10.jsonl chunk 24,Chunk,Chunk
chunk:38bd6e9822f217edda95,wikipedia_vi_10.jsonl chunk 25,Chunk,Chunk
chunk:e98ff88439564da19173,wikipedia_vi_10.jsonl chunk 26,Chunk,Chunk
chunk:40f8cb11a0c3613823f2,wikipedia_vi_10.jsonl chunk 27,Chunk,Chunk
chunk:96c69de56ae635a607f1,wikipedia_vi_10.jsonl chunk 28,Chunk,Chunk
chunk:01f1387aac76f1313670,wikipedia_vi_10.jsonl chunk 29,Chunk,Chunk
