:START_ID,predicate,:END_ID,:TYPE,evidence_sentence,source_chunk_id,description
chunk:c45f51e836031bc62a11,PART_OF,document:7bdaefb0928e8c035fae,PART_OF,,chunk:c45f51e836031bc62a11,
chunk:f81514bbd8b4d03000ca,NEXT,chunk:85312ff04d5377396fd6,NEXT,,chunk:f81514bbd8b4d03000ca,
chunk:f81514bbd8b4d03000ca,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:f81514bbd8b4d03000ca,
chunk:85312ff04d5377396fd6,NEXT,chunk:1aabad44ce903e779bdf,NEXT,,chunk:85312ff04d5377396fd6,
chunk:85312ff04d5377396fd6,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:85312ff04d5377396fd6,
chunk:1aabad44ce903e779bdf,NEXT,chunk:6ccd25a87c6799483a7b,NEXT,,chunk:1aabad44ce903e779bdf,
chunk:1aabad44ce903e779bdf,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:1aabad44ce903e779bdf,
chunk:6ccd25a87c6799483a7b,NEXT,chunk:c5cf7904ad9a98e922bf,NEXT,,chunk:6ccd25a87c6799483a7b,
chunk:6ccd25a87c6799483a7b,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:6ccd25a87c6799483a7b,
chunk:c5cf7904ad9a98e922bf,NEXT,chunk:bba4de8227d2b7e7c805,NEXT,,chunk:c5cf7904ad9a98e922bf,
chunk:c5cf7904ad9a98e922bf,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:c5cf7904ad9a98e922bf,
chunk:bba4de8227d2b7e7c805,NEXT,chunk:8ee2e1b5617c7e53841c,NEXT,,chunk:bba4de8227d2b7e7c805,
chunk:bba4de8227d2b7e7c805,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:bba4de8227d2b7e7c805,
chunk:8ee2e1b5617c7e53841c,NEXT,chunk:2e2885bb738f0198a007,NEXT,,chunk:8ee2e1b5617c7e53841c,
chunk:8ee2e1b5617c7e53841c,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:8ee2e1b5617c7e53841c,
chunk:2e2885bb738f0198a007,NEXT,chunk:842140b7384b74d7481f,NEXT,,chunk:2e2885bb738f0198a007,
chunk:2e2885bb738f0198a007,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:2e2885bb738f0198a007,
chunk:842140b7384b74d7481f,NEXT,chunk:c2a77cf7470f04333f18,NEXT,,chunk:842140b7384b74d7481f,
chunk:842140b7384b74d7481f,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:842140b7384b74d7481f,
chunk:c2a77cf7470f04333f18,NEXT,chunk:8cfa7d9cd3441933a59a,NEXT,,chunk:c2a77cf7470f04333f18,
chunk:c2a77cf7470f04333f18,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:c2a77cf7470f04333f18,
chunk:8cfa7d9cd3441933a59a,NEXT,chunk:4aa4c615552fdfe268b0,NEXT,,chunk:8cfa7d9cd3441933a59a,
chunk:8cfa7d9cd3441933a59a,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:8cfa7d9cd3441933a59a,
chunk:4aa4c615552fdfe268b0,NEXT,chunk:bdc47f428065a2801252,NEXT,,chunk:4aa4c615552fdfe268b0,
chunk:4aa4c615552fdfe268b0,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:4aa4c615552fdfe268b0,
chunk:bdc47f428065a2801252,NEXT,chunk:38587939537c745ff48a,NEXT,,chunk:bdc47f428065a2801252,
chunk:bdc47f428065a2801252,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:bdc47f428065a2801252,
chunk:38587939537c745ff48a,NEXT,chunk:d7605549efe7117e5008,NEXT,,chunk:38587939537c745ff48a,
chunk:38587939537c745ff48a,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:38587939537c745ff48a,
chunk:d7605549efe7117e5008,NEXT,chunk:9a0645ff4fa6b790380e,NEXT,,chunk:d7605549efe7117e5008,
chunk:d7605549efe7117e5008,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:d7605549efe7117e5008,
chunk:9a0645ff4fa6b790380e,NEXT,chunk:dd4dd4f3383b062b1720,NEXT,,chunk:9a0645ff4fa6b790380e,
chunk:9a0645ff4fa6b790380e,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:9a0645ff4fa6b790380e,
chunk:dd4dd4f3383b062b1720,PART_OF,document:683b01021bd5dd1f4c05,PART_OF,,chunk:dd4dd4f3383b062b1720,
chunk:e5b8cd9c69124d2d7507,NEXT,chunk:e159e83f1d3a70991c65,NEXT,,chunk:e5b8cd9c69124d2d7507,
chunk:e5b8cd9c69124d2d7507,PART_OF,document:e62fb8d6049e81b9dd1c,PART_OF,,chunk:e5b8cd9c69124d2d7507,
chunk:e159e83f1d3a70991c65,NEXT,chunk:59811777760c826970c4,NEXT,,chunk:e159e83f1d3a70991c65,
chunk:e159e83f1d3a70991c65,PART_OF,document:e62fb8d6049e81b9dd1c,PART_OF,,chunk:e159e83f1d3a70991c65,
chunk:59811777760c826970c4,NEXT,chunk:6dec5d439d9a0c5b2160,NEXT,,chunk:59811777760c826970c4,
chunk:59811777760c826970c4,PART_OF,document:e62fb8d6049e81b9dd1c,PART_OF,,chunk:59811777760c826970c4,
chunk:6dec5d439d9a0c5b2160,PART_OF,document:e62fb8d6049e81b9dd1c,PART_OF,,chunk:6dec5d439d9a0c5b2160,
chunk:45667cc992e844c5ed44,NEXT,chunk:f911a4213353600df6de,NEXT,,chunk:45667cc992e844c5ed44,
chunk:45667cc992e844c5ed44,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:45667cc992e844c5ed44,
chunk:f911a4213353600df6de,NEXT,chunk:faeeed84b4681973e7ac,NEXT,,chunk:f911a4213353600df6de,
chunk:f911a4213353600df6de,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:f911a4213353600df6de,
chunk:faeeed84b4681973e7ac,NEXT,chunk:c52eb2ede6b14f1f1553,NEXT,,chunk:faeeed84b4681973e7ac,
chunk:faeeed84b4681973e7ac,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:faeeed84b4681973e7ac,
chunk:c52eb2ede6b14f1f1553,NEXT,chunk:0833f05f06d4dd8b91d0,NEXT,,chunk:c52eb2ede6b14f1f1553,
chunk:c52eb2ede6b14f1f1553,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:c52eb2ede6b14f1f1553,
chunk:0833f05f06d4dd8b91d0,NEXT,chunk:cfb85e4b5883aeeb10f2,NEXT,,chunk:0833f05f06d4dd8b91d0,
chunk:0833f05f06d4dd8b91d0,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:0833f05f06d4dd8b91d0,
chunk:cfb85e4b5883aeeb10f2,NEXT,chunk:6aed6ab38b98e8740230,NEXT,,chunk:cfb85e4b5883aeeb10f2,
chunk:cfb85e4b5883aeeb10f2,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:cfb85e4b5883aeeb10f2,
chunk:6aed6ab38b98e8740230,NEXT,chunk:6810deb3b2e357503dfd,NEXT,,chunk:6aed6ab38b98e8740230,
chunk:6aed6ab38b98e8740230,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:6aed6ab38b98e8740230,
chunk:6810deb3b2e357503dfd,NEXT,chunk:13cbd6bce592fcd7405c,NEXT,,chunk:6810deb3b2e357503dfd,
chunk:6810deb3b2e357503dfd,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:6810deb3b2e357503dfd,
chunk:13cbd6bce592fcd7405c,NEXT,chunk:1b3e00efecab26c2bba4,NEXT,,chunk:13cbd6bce592fcd7405c,
chunk:13cbd6bce592fcd7405c,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:13cbd6bce592fcd7405c,
chunk:1b3e00efecab26c2bba4,NEXT,chunk:16996a13c7c321e06024,NEXT,,chunk:1b3e00efecab26c2bba4,
chunk:1b3e00efecab26c2bba4,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:1b3e00efecab26c2bba4,
chunk:16996a13c7c321e06024,NEXT,chunk:f81a3a244a4fed9cb05e,NEXT,,chunk:16996a13c7c321e06024,
chunk:16996a13c7c321e06024,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:16996a13c7c321e06024,
chunk:f81a3a244a4fed9cb05e,PART_OF,document:c856ec929859ef3e62e3,PART_OF,,chunk:f81a3a244a4fed9cb05e,
chunk:626b6cc2e80a7b27ddce,NEXT,chunk:e289a4f36feac46695a1,NEXT,,chunk:626b6cc2e80a7b27ddce,
chunk:626b6cc2e80a7b27ddce,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:626b6cc2e80a7b27ddce,
chunk:e289a4f36feac46695a1,NEXT,chunk:7b3fc6e7bed27f3f0dcc,NEXT,,chunk:e289a4f36feac46695a1,
chunk:e289a4f36feac46695a1,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:e289a4f36feac46695a1,
chunk:7b3fc6e7bed27f3f0dcc,NEXT,chunk:5761a4bc6dc07b05eb54,NEXT,,chunk:7b3fc6e7bed27f3f0dcc,
chunk:7b3fc6e7bed27f3f0dcc,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:7b3fc6e7bed27f3f0dcc,
